Measurement_number,Sample_ID,pH1,pH2,pH3,pH4,pH5,pH6,Notes,Vial_type
1,20.0401,6.45,6.62,6.65,,,,,Falcon
2,20.0197,6.78,6.62,6.84,,,,,Falcon
3,20.0429,7.11,6.97,7.00,,,,,Falcon
4,20.0541,6.95,6.94,6.75,,,,,Falcon
5,20.0409,6.90,7.20,7.24,7.01,,,,Falcon
6,20.0565,7.05,7.13,7.27,7.30,7.12,,,Falcon
7,RECALIBRATED,,,,,,,,
8,20.0041,7.05,7.08,7.12,,,,,Falcon
9,20.0621,6.50,6.52,6.47,6.51,,,,Falcon
10,20.0001,6.99,7.16,7.17,,,,,Falcon
11,20.0665,7.15,1.09,7.09,,,,,Falcon
12,20.0077,6.27,6.22,6.20,,,,,Falcon
13,20.0715,6.41,6.49,6.52,,,,,Falcon
14,20.0613,7.01,7.05,7.07,,,,,Falcon
15,20.0605,6.79,6.76,6.73,,,,,Falcon
16,20.0369,6.69,6.74,6.78,,,,,Falcon
17,20.0561,6.54,6.53,6.55,,,,,Falcon
18,20.0257,6.79,6.83,6.85,,,,,Falcon
19,20.0233,6.43,6.41,6.40,,,,,Falcon
20,7.0 BUFFER READS 7.29,,,,,,,,
21,RECALIBRATED,,,,,,,,
22,7.0 BUFFER READS 7.13; 4.0 BUFFER READS 3.96,,,,,,,,
23,20.0321,5.72,5.92,5.95,,,,,Falcon
24,20.0505,6.21,6.24,6.25,,,,,Falcon
25,20.0121,6.33,6.35,6.36,,,,,Falcon
26,20.0181,6.17,6.17,6.18,,,,,Falcon
27,20.0485,6.10,6.27,6.27,,,,,Falcon
28,20.0013,6.27,6.40,6.41,,,,,Falcon
29,20.0009,6.53,6.65,6.67,,,,,Falcon
30,20.0633,6.47,6.48,6.53,,,,,Falcon
31,20.0329,6.43,6.43,6.44,,,,saw mycol,Falcon
32,20.0237,6.37,6.39,6.40,,,,,Falcon
33,20.0129,6.70,6.73,6.77,,,,,Falcon
34,20.0125,6.73,6.91,6.94,,,,,Falcon
35,BUFFER 7.0 READS 7.19,,,,,,,,
36,RECALIBRATED,,,,,,,,
37,20.0453,6.27,6.26,6.25,,,,,SCINT
38,20.0589,6.59,6.58,6.57,,,,,SCINT
39,20.0137,6.44,6.43,6.43,,,,,SCINT
40,20.0165,6.10,6.13,6.15,,,,,SCINT
41,20.0670,6.39,6.39,6.40,,,,,SCINT
42,20.0221,6.05,5.86,5.85,,,,,SCINT
43,20.0501,5.88,5.90,5.90,,,,,SCINT
44,20.0217,6.44,6.51,6.73,,,,,SCINT
45,20.0093,6.07,6.02,6.01,,,,,SCINT
46,20.0061,6.09,6.08,6.13,,,,,SCINT
47,20.0281,6.27,6.25,6.25,,,,,SCINT
48,20.0225,5.70,5.69,5.70,,,,,SCINT
49,20.0249,5.62,5.61,5.60,,,,,SCINT
50,20.0253,6.11,6.13,6.15,,,,,SCINT
51,20.0601,6.33,6.36,6.37,,,,,SCINT
52,20.0533,6.25,6.25,6.24,,,,,SCINT
53,20.0289,6.29,6.33,6.35,,,,,SCINT
54,BUFFER 7.0 READS 7.17,,,,,,,,
55,RECALIBRATED,,,,,,,,
56,20.0145,5.86,5.77,5.71,5.57,5.54,5.60,,SCINT
57,20.0081,5.88,5.92,5.95,,,,,SCINT
58,20.0441,5.62,5.58,5.57,,,,,SCINT
59,20.0413,5.89,5.91,5.92,,,,,SCINT
60,20.0477,5.86,5.86,5.86,,,,,SCINT
61,20.0149,5.98,5.98,6.01,,,,,SCINT
62,20.0285,6.24,6.22,6.24,,,,,SCINT
63,20.0577,6.22,6.21,6.22,,,,,SCINT
64,20.0629,5.92,5.94,5.92,,,,,SCINT
65,20.0417,6.35,6.36,6.38,,,,,SCINT
66,20.0265,6.55,6.95,6.97,,,,,SCINT
67,20.0617,6.22,6.22,6.23,,,,,SCINT
68,20.0333,6.03,6.00,5.98,,,,,SCINT
69,20.0365,6.50,6.56,6.73,,,,,SCINT
70,20.0241,6.76,6.79,6.91,,,,,SCINT
71,20.0497,6.82,6.86,6.88,,,,,SCINT
72,20.0205,6.61,6.60,6.62,,,,,SCINT
73,20.0465,6.52,6.62,6.56,,,,,SCINT
74,20.0045,6.49,6.44,6.42,,,,,SCINT
75,20.0349,6.54,6.57,6.57,,,,,SCINT
76,20.0341,6.61,6.65,6.65,,,,,SCINT
77,20.0169,6.28,6.25,6.22,,,,,SCINT
78,20.0213,6.57,6.60,6.64,,,,,SCINT
79,20.0437,6.91,6.96,6.97,,,,,SCINT
80,20.0153,6.60,6.57,6.57,,,,,SCINT
81,20.0157,6.77,6.77,6.80,,,,,SCINT
82,20.0385,6.40,6.47,6.47,,,,,SCINT
83,20.0033,6.35,6.35,6.39,,,,,SCINT
84,20.0537,6.23,6.20,6.20,,,,,SCINT
85,20.0581,6.18,6.19,6.20,,,,,SCINT
86,20.0089,6.69,6.71,6.71,,,,,SCINT
87,20.0345,6.68,6.65,6.65,,,,,SCINT
88,20.0609,6.45,6.42,6.40,,,,,SCINT
89,20.0029,6.45,6.55,6.54,,,,,SCINT
90,20.0393,6.77,6.78,6.81,,,,,SCINT
91,20.0185,6.70,6.80,6.81,,,,,SCINT
92,20.0557,6.56,6.56,6.58,,,,,SCINT
93,20.0513,6.04,6.02,5.98,,,,,SCINT
94,20.0193,6.18,6.17,6.18,,,,Yellow! nematodes?,SCINT
95,20.0177,6.64,6.63,6.67,,,,,SCINT
96,BUFFER 7.0 READS 7.18,,,,,,,,
97,RECALIBRATED,,,,,,,,
98,20.0209,5.91,5.94,5.95,,,,,SCINT
99,20.0053,6.01,5.99,5.98,,,,,SCINT
100,20.0625,6.29,6.29,6.29,,,,,SCINT
101,20.0597,6.40,6.40,6.41,,,,,SCINT
102,20.0425,6.44,6.44,6.40,,,,,SCINT
103,20.0105,6.75,6.50,6.49,6.97,,,,SCINT
104,20.0173,6.59,6.61,6.67,,,,,SCINT
105,20.0445,6.58,6.56,6.65,,,,,SCINT
106,20.0529,6.67,6.66,6.67,,,,,SCINT
107,20.0305,6.93,6.98,6.98,,,,,SCINT
108,20.0037,6.86,6.83,6.80,,,,,TUBE UNKNOWN
109,20.0421,6.07,6.04,6.02,,,,,TUBE UNKNOWN
110,20.0109,6.44,6.46,6.45,,,,,TUBE UNKNOWN
111,20.0469,6.73,6.76,6.77,,,,,TUBE UNKNOWN
112,20.0133,6.68,6.69,6.70,,,,,TUBE UNKNOWN
113,20.0277,6.84,6.84,6.84,,,,,TUBE UNKNOWN
114,20.0457,6.94,6.93,6.94,,,,,TUBE UNKNOWN
115,20.0377,6.81,6.80,6.80,,,,,TUBE UNKNOWN
116,20.0325,6.51,6.55,6.55,,,,,TUBE UNKNOWN
117,20.0049,6.77,6.77,6.78,,,,,TUBE UNKNOWN
118,20.0161,6.56,6.47,,,,,,TUBE UNKNOWN
119,20.0397,6.51,6.52,6.53,,,,,TUBE UNKNOWN
120,20.0005,6.81,6.85,6.88,,,,,TUBE UNKNOWN
121,20.0449,6.79,6.81,6.80,,,,,TUBE UNKNOWN
122,20.0521,5.80,5.72,5.69,,,,,TUBE UNKNOWN
123,20.0357,6.13,6.09,6.09,,,,,TUBE UNKNOWN
124,20.0473,6.28,6.27,6.28,,,,,TUBE UNKNOWN
125,CALIBRATED,,,,,,,,
126,20.0229,6.82,6.89,6.94,,,,,TUBE UNKNOWN
127,BUFFER 7 READS 7.17,,,,,,,,
128,20.0025,6.02,6.00,5.95,,,,pH taken by N.C starting here,TUBE UNKNOWN
129,20.0509,6.57,6.63,6.64,,,,,TUBE UNKNOWN
130,20.0069,5.87,5.61,5.72,5.73,5.74,,,TUBE UNKNOWN
131,RECALIBRATED,,,,,,,,TUBE UNKNOWN
132,20.0057,6.47,6.58,6.60,,,,,TUBE UNKNOWN
133,20.0549,6.67,6.70,6.72,,,,,TUBE UNKNOWN
134,BUFFER 7.0 READS 7.16,,,,,,,,TUBE UNKNOWN
135,20.0553,6.53,6.60,6.62,,,,,TUBE UNKNOWN
136,20.0545,6.31,6.34,6.37,,,,,TUBE UNKNOWN
137,20.0361,6.95,6.98,7.00,,,,,TUBE UNKNOWN
138,20.0113,6.19,6.21,6.22,,,,,TUBE UNKNOWN
139,20.0517,6.96,7.04,7.06,,,,,TUBE UNKNOWN
140,20.0097,6.78,6.81,6.82,,,,,TUBE UNKNOWN
141,20.0141,6.19,6.14,6.12,,,,,TUBE UNKNOWN
142,20.0261,6.79,6.84,6.86,,,,,TUBE UNKNOWN
143,20.0301,6.76,6.79,6.78,,,,,TUBE UNKNOWN
144,20.0101,6.30,6.30,6.27,,,,,TUBE UNKNOWN
145,20.0117,6.69,6.71,6.74,,,,,TUBE UNKNOWN