Transect_ID,Species_abbrev,Dist_to_transect_cm,Position_along_transect_m,Heading,DBH,Notes
20.2001,QUAG,37,29.96,90,0.8,base
20.2001,PISA,30,29.66,90,1.4,base
20.2001,PISA,2.77,28.57,90,49,
20.2001,QUAG,47,27.10,270,3.9,base
20.2001,QUAG,153,27.04,90,9.5,base
20.2001,PISA,38,26.06,270,56,
20.2001,QUAG,17,17.88,90,1.5,base
20.2001,PISA,341,14.7,90,54,split trunk two DBH measurements
20.2001,PISA,341,14.7,90,48,split trunk two DBH measurements
20.2001,CEANOTHUS,122,14.76,90,49,max height
20.2001,QUAG,44,16.42,270,1,base
20.2001,QUAG,177,11.31,90,1.6,"cluster of 3 QUAG,base"
20.2001,QUAG,14,9.64,270,.8,base
20.2001,PISA,11,9.55,270,1.5,base
20.2001,PISA,122,8.21,270,1,base
20.2001,PISA,37,6.31,270,.8,base
20.2001,PISA,1,4.32,270,2.4,base
20.2001,QUDO,67,3.31,270,84,
20.2001,PISA,6.1,9.14,270,31,split trunk two DBH measurements
20.2001,PISA,6.1,9.14,270,32,split trunk two DBH measurements
20.2002,PISA,5,0,135,0,dead (twin trunk) & fallen
20.2002,QUDO,142,25.36,R,27,(facing from 0m to 30m)-(R or L)
20.2002,QUAG,729,22.6,L,67,
20.2002,QUDO,62,21.5,L,22.5,
20.2002,QUDO,136,21.88,R,10.5,
20.2002,PISA,54,20.38,L,2.5,
20.2002,QUDO,227,19.6,R,17,
20.2002,QUDO,146,17.97,L,12,"dead, split trunk"
20.2002,QUDO,146,17.97,L,11,"dead, split trunk"
20.2002,QUAG,519,16.32,L,50,
20.2002,QUAG,808,15.3,R,47,
20.2002,QUDO,0,0,R,45,split trunk
20.2002,QUDO,0,0,R,31,split trunk
20.2002,QUDO,0,0,R,23,split trunk
20.2002,QUDO,0,0,R,16,split trunk
20.2002,QUDO,320,5.3,L,37,
20.2002,CEANOTHUS,95,4.31,R,1.48,height in m
20.2002,CEANOTHUS,97,3.84,R,1.86,height in m
20.2002,CEANOTHUS,70,3.69,R,1.35,height in m
20.2002,PISA,5,1.4,R,97.5,
20.2002,CEANOTHUS,1200,0,350,1.11,"height in m, ceanothus stand off 0m end of transect"
20.2003,QUDO,140,30,170,49.5,
20.2003,QUDO,319,30,260,32,
20.2003,PISA,1410,30,160,72.5,
20.2003,PISA,1300,30,110,48.5,
20.2003,QUDO,372,30,L,52.5,
20.2003,QUDO,462,27.45,R,51,
20.2003,QUDO,738,26.16,R,42,
20.2003,QUDO,1067,25.94,L,43,
20.2003,QUDO,246,19.51,R,55,QUAG recruits underneath
20.2003,QUDO,734,17.2,L,17.5,"P. sab sapling nearby, split trunk"
20.2003,QUDO,734,17.2,L,30,P. sab sapling nearby split trunk
20.2003,QUAG,727,16.98,L,37.5,
20.2003,QUDO,48,14.07,L,27.5,
20.2003,QUDO,196,15.03,L,23.5,
20.2003,QUDO,132,12.86,L,10,
20.2003,QUDO,811,9.59,R,58.5,
20.2003,QUDO,541,5.63,R,39,
20.2003,QUDO,499,1.91,R,40,
20.2003,QUDO,21,1.6,R,31,
20.2003,QUDO,116,0,0,29.5,
20.2003,PISA,454,0,10,6,
20.2003,QUDO,485,0,45,29,
20.2003,QUAG,23,45,L,1,base
20.2003,QUDO,24,1.5,L,17,
20.2003,QUDO,357,3.29,L,16,
20.2003,QUDO,671,3.49,L,15,
20.2003,QUDO,878,4.55,L,21.5,
20.2003,QUDO,724,6.26,L,28,
20.2004,QUAG,338,30,140,75,
20.2004,QUAG,711,30,L,54,
20.2004,QUAG,450,24.81,L,58,
20.2004,QUDO,176,17.55,L,28,dead
20.2004,QUAG,242,19.29,R,25,
20.2004,QUDO,18,18.47,R,64,
20.2004,QUAG,777,12.36,L,43,
20.2004,QUAG,93,10.7,L,0.6,base
20.2004,QUAG,140,10.7,L,1,base
20.2004,QUAG,164,10.7,L,0.8,base
20.2004,QUAG,192,10.7,L,1.2,base
20.2004,QUAG,211,10.01,L,0.9,base
20.2004,QUDO,200,9.97,L,0.3,base
20.2004,QUAG,225,7.75,L,1,"QUAG baby cluster of 5, all <1cm at base"
20.2004,QUAG,225,7.75,L,1,"QUAG baby cluster of 5, all <1cm at base"
20.2004,QUAG,225,7.75,L,1,"QUAG baby cluster of 5, all <1cm at base"
20.2004,QUAG,225,7.75,L,1,"QUAG baby cluster of 5, all <1cm at base"
20.2004,QUAG,225,7.75,L,1,"QUAG baby cluster of 5, all <1cm at base"
20.2004,QUAG,0,7.53,R,0.5,
20.2004,QUDO,34,7.17,L,0.5,
20.2004,QUAG,41,6.6,R,0.8,base
20.2004,QUAG,68,6.27,L,0.8,
20.2004,QUDO,68,6.27,L,0.3,
20.2004,QUDO,47,5.27,L,0.5,
20.2004,QUAG,316,7.02,R,92,
20.2004,QUAG,39,6.64,R,0.5,
20.2004,QUAG,200,4.91,R,0.7,
20.2004,QUAG,456,3.8,R,66,
20.2004,QUAG,375,1.19,L,48,split & fused trunk
20.2004,QUDO,374,0.51,L,30.5,
20.2004,QUDO,557,0,20,59,
20.2004,QUAG,90,0,20,0.6,
20.2004,QUAG,92,0,330,0.7,