Transect_ID,Transect_nickname,Date,Time,Notes,Position_along_transect_m,Soils_bag_ID,Roots_bag_ID,Tube1_ID,Tube1_mass,Tube2_ID,Tube2_mass,Tube3_ID,Tube3_mass,Litter_depth_cm
20.2001,Qu.do 1(water tower),200126,11:00,"ran low on EtOH, diluted to 35% around 22m",0,20.0349,20.0652,20.0352,1.57,20.0351,1.49,20.035,full,1
20.2001,Qu.do 1(water tower),200126,11:00,,2,20.0357,20.0789,20.036,1.47,20.0359,1.6,20.0358,full,0.5
20.2001,Qu.do 1(water tower),200126,11:00,,4,20.0185,20.065,20.0188,1.55,20.0186,1.47,20.0187,full,1.5
20.2001,Qu.do 1(water tower),200126,11:00,,6,20.0329,20.0779,20.0332,1.59,20.331,1.63,20.033,full,1.5
20.2001,Qu.do 1(water tower),200126,11:00,,8,20.0625,20.074,20.0626,1.68,20.0628,1.7,20.0627,full,0.5
20.2001,Qu.do 1(water tower),200126,11:00,,10,20.0505,20.0713,20.0507,1.56,20.0506,1.55,20.0508,full,1
20.2001,Qu.do 1(water tower),200126,11:00,,12,20.0233,20.0768,20.0235,1.58,20.0236,1.64,20.0234,full,4
20.2001,Qu.do 1(water tower),200126,11:00,,14,20.0453,20.0746,20.0454,1.69,20.0456,1.79,20.0455,full,5
20.2001,Qu.do 1(water tower),200126,11:00,looks serpentine- ish,16,20.0537,20.0656,20.054,1.54,20.0538,1.54,20.0539,full,4
20.2001,Qu.do 1(water tower),200126,11:00,,18,20.0577,20.0671,20.0578,1.61,20.0579,1.46,20.058,full,5
20.2001,Qu.do 1(water tower),200126,11:00,,20,20.0217,20.068,20.0219,1.38,20.0218,1.44,20.022,full,5
20.2001,Qu.do 1(water tower),200126,11:00,,22,20.0321,20.0729,20.0323,1.55,20.0324,1.54,20.0322,full,4
20.2001,Qu.do 1(water tower),200126,11:00,,24,20.0425,20.0719,20.0422,1.76,20.0426,1.55,20.0428,full,3.5
20.2001,Qu.do 1(water tower),200126,11:00,,26,20.0077,20.0696,20.008,1.77,20.0078,1.92,20.0079,full,9
20.2001,Qu.do 1(water tower),200126,11:00,,28,20.0541,20.0747,20.0544,1.76,20.0543,1.62,20.0542,full,0.5
20.2001,Qu.do 1(water tower),200126,11:00,,30,20.0029,20.0677,20.0031,1.58,20.003,1.74,20.0032,full,0.5
20.2002,Holly Hollow,200126,12:51,"Saw fruiting in this transect: xerocomellus (red bottom), cortinarus (yellow) ",0,20.0033,20.0774,20.0036,1.76,20.0035,1.7,20.0034,full,0.25
20.2002,Holly Hollow,200126,12:51,,2,20.0609,20.0725,20.061,1.56,20.0611,1.7,20.0612,full,2.5
20.2002,Holly Hollow,200126,12:51,,4,20.0289,20.0644,20.029,1.53,20.0291,1.47,20.0598,full,0.5
20.2002,Holly Hollow,200126,12:51,,6,20.0597,20.0402,20.0599,1.63,20.06,1.47,20.0598,full,<0.25
20.2002,Holly Hollow,200126,12:51,,8,20.0589,20.0758,20.0591,1.55,20.0593,1.52,20.059,full,4
20.2002,Holly Hollow,200126,12:51,,10,20.067,20.0309,20.0311,1.77,20.031,1.71,20.0312,full,1.5
20.2002,Holly Hollow,200126,12:51,,12,20.0533,20.0754,20.0536,1.56,20.0535,1.51,20.0534,full,0.5
20.2002,Holly Hollow,200126,12:51,,14,20.0025,20.0721,20.0028,1.21,20.0027,1.4,20.0026,full,6
20.2002,Holly Hollow,200126,12:51,,16,20.0521,20.0657,20.0524,1.62,20.0523,1.52,20.0522,full,0.25
20.2002,Holly Hollow,200126,12:51,,18,20.0617,20.0788,20.062,1.84,20.0618,1.73,20.0619,full,5
20.2002,Holly Hollow,200126,12:51,,20,20.0621,20.0764,20.0623,1.58,20.0623,1.69,20.0622,full,3
20.2002,Holly Hollow,200126,12:51,,22,20.0561,20.0697,20.0564,1.79,20.0562,1.52,20.0563,full,3
20.2002,Holly Hollow,200126,12:51,,24,20.0045,20.0715,20.0048,1.71,20.0046,1.67,20.0047,full,2
20.2002,Holly Hollow,200126,12:51,,26,20.0149,20.0777,20.0151,1.14,20.015,1.65,20.0152,full,1
20.2002,Holly Hollow,200126,12:51,,28,20.0333,20.0781,20.0335,1.64,20.0334,1.57,20.0336,full,<0.25
20.2002,Holly Hollow,200126,12:51,,30,20.0221,20.0694,20.0224,1.47,20.0223,1.56,20.0222,full,0.5
20.2003,Laura's Ledge,200126,1:50,Mostly blue oak,0,20.0441,20.0775,20.0443,1.53,20.0442,1.56,20.0444,full,<0.25
20.2003,Laura's Ledge,200126,1:50,,2,20.0501,20.0734,20.0503,1.54,20.0502,1.62,20.0504,full,<0.25
20.2003,Laura's Ledge,200126,1:50,,4,20.0477,20.0761,20.048,1.57,20.0479,1.47,20.0478,full,1
20.2003,Laura's Ledge,200126,1:50,,6,20.0513,20.0762,20.0515,1.79,20.0514,1.64,20.0516,full,0.25
20.2003,Laura's Ledge,200126,1:50,,8,20.0629,20.0728,20.0632,1.59,20.063,1.62,20.0631,full,0.5
20.2003,Laura's Ledge,200126,1:50,,10,20.0225,20.0727,20.0226,1.64,20.0228,1.73,20.0227,full,0.25
20.2003,Laura's Ledge,200126,1:50,,12,20.0421,20.0659,20.0425,1.7,20.0422,1.72,20.0423,full,2
20.2003,Laura's Ledge,200126,1:50,,14,20.0069,20.0792,20.0072,1.53,20.0071,1.43,20.007,full,0.25
20.2003,Laura's Ledge,200126,1:50,,16,20.0249,20.0759,20.0251,1.61,20.025,1.53,20.0252,full,<0.25
20.2003,Laura's Ledge,200126,1:50,,18,20.0253,20.08,20.0255,1.53,20.0256,1.47,20.0254,full,0.25
20.2003,Laura's Ledge,200126,1:50,,20,20.0165,20.0769,20.0168,1.62,20.0166,1.44,20.0167,full,4
20.2003,Laura's Ledge,200126,1:50,,22,20.0169,20.0647,20.0172,1.76,20.0171,1.69,20.017,full,1
20.2003,Laura's Ledge,200126,1:50,,24,20.0101,20.075,20.0102,1.5,20.0103,1.67,20.0104,full,0.5
20.2003,Laura's Ledge,200126,1:50,,26,20.0061,20.0752,20.0063,1.58,20.0062,1.69,20.0064,full,0.5
20.2003,Laura's Ledge,200126,1:50,,28,20.0581,20.0678,20.0583,1.44,20.0582,1.32,20.0584,full,1
20.2003,Laura's Ledge,200126,1:50,,30,20.0417,20.0705,20.0418,1.73,20.0419,1.43,20.042,full,1
20.2004,Gabe's Glen,200126,2:50,"Mostly Q. agrifolia, some Q. douglassii",0,20.0473,20.0723,20.0476,1.77,20.0474,1.49,20.0475,full,1.5
20.2004,Gabe's Glen,200126,2:50,,2,20.0141,20.0692,20.0143,1.87,20.0144,1.5,20.0142,full,0.25
20.2004,Gabe's Glen,200126,2:50,,4,20.0145,20.0689,20.0148,1.68,20.0147,1.62,20.0146,full,0.25
20.2004,Gabe's Glen,200126,2:50,,6,20.0053,20.0689,20.0055,1.52,20.0054,1.5,20.0056,full,1.5
20.2004,Gabe's Glen,200126,2:50,,8,20.0397,20.072,20.0398,1.51,20.04,1.48,20.0399,full,0.5
20.2004,Gabe's Glen,200126,2:50,,10,20.0113,20.0731,20.0115,1.78,20.0114,1.62,20.0116,full,0.5
20.2004,Gabe's Glen,200126,2:50,,12,20.0121,20.0684,20.0122,1.72,20.0123,1.73,20.0124,full,1.5
20.2004,Gabe's Glen,200126,2:50,,14,20.0093,20.0675,20.0094,1.79,20.0095,1.54,20.0096,full,0.25
20.2004,Gabe's Glen,200126,2:50,,16,20.0605,20.0658,20.0606,1.8,20.0608,1.57,20.0607,full,0.25
20.2004,Gabe's Glen,200126,2:50,,18,20.0325,20.0679,20.0328,1.65,20.0327,1.62,20.0326,full,3
20.2004,Gabe's Glen,200126,2:50,,20,20.0465,20.0685,20.0466,1.63,20.0467,1.63,20.0468,full,1
20.2004,Gabe's Glen,200126,2:50,,22,20.0209,20.0654,20.021,1.62,20.0211,1.7,20.0212,full,5
20.2004,Gabe's Glen,200126,2:50,,24,20.0281,20.0799,20.0282,1.52,20.0283,1.5,20.0284,full,6
20.2004,Gabe's Glen,200126,2:50,,26,20.0237,20.0698,20.024,1.75,20.0239,1.43,20.0238,full,1
20.2004,Gabe's Glen,200126,2:50,,28,20.0413,20.0767,20.0416,1.17,20.0414,1.14,20.0415,full,8
20.2004,Gabe's Glen,200126,2:50,,30,20.0137,20.0793,20.0139,1.74,20.014,1.52,20.0138,full,1