Sample Location,Sample Description #1,Lab Number,Carbon   (%),Nitrogen (%),C/N Ratio
20-2001,20.0349,1193,5.89,0.54,10.91
20-2001,20.0357,1194,2.95,0.35,8.43
20-2001,20.0185,1195,4.82,0.36,13.39
20-2001,20.0329,1196,4.29,0.37,11.59
20-2001,20.0625,1197,4.64,0.37,12.54
20-2001,20.0505,1198,3.63,0.29,12.52
20-2001,20.0233,1199,3.89,0.3,12.97
20-2001,20.0453,1200,2.33,0.2,11.65
20-2001,20.0537,1201,2.45,0.19,12.89
20-2001,20.0577,1202,2.31,0.18,12.83
20-2001,20.0217,1203,2.18,0.15,14.53
20-2001,20.0321,1204,3.37,0.24,14.04
20-2001,20.0424,1205,3.24,0.23,14.09
20-2001,20.0077,1206,2.56,0.2,12.8
20-2001,20.0541,1207,1.89,0.17,11.12
20-2001,20.0029,1208,2.42,0.22,11
20.2002,20.0033,1209,4.48,0.32,14
20.2002,20.0609,1210,7.48,0.47,15.91
20.2002,20.0289,1211,4.28,0.33,12.97
20.2002,20.0597,1212,4.98,0.4,12.45
20.2002,20.0589,1213,5.39,0.45,11.98
20.2002,20.0533,1214,5.06,0.42,12.05
20.2002,20.0025,1215,3.91,0.32,12.22
20.2002,20.0521,1216,2.58,0.23,11.22
20.2002,20.0617,1217,2.85,0.29,9.83
20.2002,20.0621,1218,2.77,0.28,9.89
20.2002,20.0561,1219,2.82,0.29,9.72
20.2002,20.0045,1220,3.71,0.34,10.91
20.2002,20.0149,1221,1.97,0.23,8.57
20.2002,20.0333,1222,3.14,0.3,10.47
20.2002,20.0221,1223,2.51,0.24,10.46
20.2003,20.0441,1224,3.08,0.31,9.94
20.2003,20.0501,1225,4.32,0.4,10.8
20.2003,20.0477,1226,3.99,0.38,10.5
20.2003,20.0513,1227,4.75,0.44,10.8
20.2003,20.0629,1228,5.33,0.48,11.1
20.2003,20.0225,1229,4.92,0.45,10.93
20.2003,20.0421,1230,3.76,0.37,10.16
20.2003,20.0069,1231,2.86,0.3,9.53
20.2003,20.0249,1232,4.38,0.41,10.68
20.2003,20.0253,1233,10.05,0.76,13.22
20.2003,20.0165,1234,2.97,0.33,9
20.2003,20.0169,1235,2.84,0.33,8.61
20.2003,20.0101,1236,4.56,0.4,11.4
20.2003,20.0061,1237,2.67,0.3,8.9
20.2003,20.0581,1238,3.57,0.36,9.92
20.2003,20.0417,1239,4.01,0.37,10.84
20.2004,20.0473,1240,1.87,0.27,6.93
20.2004,20.0141,1241,2.09,0.28,7.46
20.2004,20.0145,1242,2.73,0.31,8.81
20.2004,20.0053,1243,4.88,0.48,10.17
20.2004,20.0397,1244,3.55,0.37,9.59
20.2004,20.0113,1245,3.49,0.36,9.69
20.2004,20.0121,1246,3.41,0.44,7.75
20.2004,20.0093,1247,3.57,0.37,9.65
20.2004,20.0605,1248,4.19,0.43,9.74
20.2004,20.0325,1249,2.03,0.25,8.12
20.2004,20.0465,1250,3.35,0.37,9.05
20.2004,20.0209,1251,2.29,0.3,7.63
20.2004,20.0281,1252,3.73,0.38,9.82
20.2004,20.0237,1253,3.13,0.33,9.48
20.2004,20.0413,1254,5.86,0.52,11.27
20.2004,20.0137,1255,5.22,0.44,11.86